ID,predicted
459678,D
460051,A
462094,D
467493,A
463766,A
460470,D
461226,A
459090,D
459213,D
466324,A
461525,A
460340,A
459209,A
465242,D
466408,A
466564,D
460851,B
463644,D
459566,A
464276,A
464670,A
465829,D
467879,C
459123,A
465231,A
463473,D
460336,A
467346,A
459509,D
461695,A
459582,A
467706,A
461858,D
461131,C
460586,D
459497,A
459763,D
466863,D
466553,D
464865,D
461022,A
461378,A
466313,A
460746,D
461308,D
463704,A
462722,D
459745,A
465296,A
463794,D
465204,D
464552,B
461725,A
467620,A
463807,D
462389,A
463224,A
464180,A
466696,A
465069,A
466917,D
461128,D
464412,A
459163,A
465937,D
462256,A
467694,A
462992,A
462776,A
466124,A
463877,A
463516,A
461630,A
459383,A
464851,D
459585,A
460346,A
465335,B
463560,D
461792,D
460415,A
467768,B
466223,B
467915,A
467539,D
460068,A
465144,A
460384,D
465612,A
460389,D
462731,C
465547,A
460633,A
466118,A
460392,A
467683,A
466319,D
466282,A
460179,A
459801,A
460467,A
459121,A
460361,A
467938,B
462096,A
462214,A
462512,A
460547,A
466208,A
461701,A
462871,A
459970,A
463145,A
464162,A
465344,A
462522,D
461163,A
462669,A
467263,D
461370,D
463652,A
459943,A
463537,D
461617,A
460691,D
467763,A
462310,A
462229,D
459505,A
465226,A
465510,A
466538,A
461029,A
464481,A
463240,A
460484,D
461716,A
467165,D
463150,D
463335,D
464695,A
463156,A
460979,A
467167,A
462518,D
463133,A
465640,A
464451,A
464274,A
462345,B
463199,A
460626,B
463963,A
467456,A
461205,D
464879,D
460549,A
463786,A
466236,A
464852,D
463195,D
467608,A
460324,A
463372,D
464907,A
467385,D
464675,D
465101,A
461262,A
464561,A
464504,D
464205,A
464031,D
466552,A
460394,D
465602,A
467968,D
462386,D
466443,A
462615,D
462451,D
464217,D
465518,B
459288,A
466292,A
462566,A
461626,A
467288,D
462637,D
459405,C
467588,A
461619,A
464831,D
460144,A
466046,A
466317,A
460310,D
466874,A
462619,A
462492,A
460716,A
467533,A
459516,A
464581,A
467728,A
465704,A
459625,A
463460,A
460660,A
464995,D
465099,A
466658,D
462016,A
460477,A
465093,B
463395,D
459621,D
462149,A
462088,A
462243,D
459715,D
462401,D
459909,A
464054,A
464110,C
462998,A
467737,A
461458,A
466376,A
466142,A
461480,C
460281,A
461788,A
467739,A
466652,D
465727,D
462029,A
462457,D
465351,A
466156,D
460891,A
465768,D
459485,A
463170,D
466735,D
467894,A
462526,A
465931,A
467514,A
463242,A
465014,A
464528,A
463931,A
461232,A
465458,C
467929,A
